98,3,Jul 50,Wilkin Thomasson,"R.B.
J.E. Wyatt *
John Garstang *
Wilkin Thomasson *
Henry Moors *
G.H.S. *","3
3
3
3
3
3","Aug 50
Aug 50
Aug 50
Aug 50
Aug 50
Aug 50","xx
xx
xx
xx
xx
xx",41,
99,3,Jul 50,Wilkin Thomasson,"Nicol
G.H.S.
Wilkin Thomasson","3
3
3","Aug 50
Aug 50
Aug 50","xx
xx
xx",41,
,,,,,,,,,
,,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE,
100,3,Jul 50,W.H. Hoare,"G.H.S.
J.E. Wyatt *
John Brookes *
J. Tomlinson *
John Giblin *
George Carterfield *
H. Moors *
W. Turnbull *
R.B. *
W.H. Hoare *
Dr. P.B. *
J. Faulkner *
G. *
William Lundy *
W.F. Easton *","3
3
3
3
3
3
3
3
3
3
3
3
3
3
3","Aug 50
Aug 50
Aug 50
Aug 50
Aug 50
Aug 50
Aug 50
Aug 50
Aug 50
Aug 50
Aug 50
Aug 50
Aug 50
Aug 50
Aug 50","xx
xx
xx
xx
xx
xx
xx
xx
xx
xx
xx
xx
xx
xx
xx",41,
101,3,Jul 50,R. Harley,Digamma,3,Sep 50,xx,44,
102,3,Jul 50,James Lavin,,,,,41,
103,3,Jul 50,"James Lavin



Kate Sullivan

Editor","Nemo
Hibernicus
S.P.*
Zero
W.J. Greenstreet (1st)
W.J. Greenstreet (2nd)
W.J. Greenstreet (3rd)
R. Chartres
H.J. Woodall","3
3
3
3
6
46
52
51
xx","Aug 50
Sep 50
Mar 51
Mar 51
Dec 52
Dec 93
May 99
May 98
xx","xx
xx
xx
xx
xx
xx
61
69
61",74,
104,3,Jul 50,W. Turnbull,"W. Turnbull
J.E. Wyatt *
Terence Moran *","3
3
3","Aug 50
Aug 50
Aug 50","xx
xx
xx",12,
105,3,Jul 50,Dr. Wilson,"John Garstang
George Carterfield *","3
3","Aug 50
Aug 50","xx
xx",53,
106,3,Jul 50,George Carterfield,"J.P.B.
J. Tomlinson *
John Garstang *
George Carterfield *
Henry Moors *
Dr. P.B. *","3
3
3
3
3
3","Aug 50
Aug 50
Aug 50
Aug 50
Aug 50
Aug 50","xx
xx
xx
xx
xx
xx",17,
107,3,Aug 50,J. Garstang,"R. Harley
Function
Digamma *
William Turnbull *
W.J. Miller *
J.G. Blake *
John Brookes *
Robert Bruce *
E.L. Rossoli *
James Lavin *
Nemo *
Zeta *
Henry Moors *
---- *
T.S. *
George Carterfield *","3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3","Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50","xx
xx
xx
xx
xx
xx
xx
xx
xx
xx
xx
xx
xx
xx
xx
xx",41,
108,3,Aug 50,R. Harley,"R. Harley
James Lavin *
Nemo *","3
3
3","Sep 50
Sep 50
Sep 50","xx
xx
xx",44,
109,3,Aug 50,James Lavin,Terence Moran,3,Sep 50,xx,41,
110,3,Aug 50,G.,"E.L. Rossoli
Digamma *
W.J. Miller *
J.G. Blake *
John Brookes *
Robert Bruce *
James Lavin *
Nemo *
Henry Moors *
C. Tunnicliffe *
T. Elliott *
J. Faulkner *
G. *","3
3
3
3
3
3
3
3
3
3
3
3
3","Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50","xx
xx
xx
xx
xx
xx
xx
xx
xx
xx
xx
xx
xx",2,
111,3,Aug 50,G,"Function
Digamma *
W.J. Miller *
J.G. Blake *
John Brookes *
Robert Bruce *
E.L. Rossoli *
James Lavin *
Nemo *
Zeta *
Henry Moors *
----- *
J. Faulkner *
G. *
J.P.B. *
J.S.A. *
Delta *
Messrs. Dean & Clough *
J. Shorrock *
W.T. Bush *
Terence Moran *
T.S. *","3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3","Sep 50
Sep 50\
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50
Sep 50","xx
xx
xx
xx
xx
xx
xx
xx
xx
xx
xx
xx
xx
xx
xx
xx
xx
xx
xx
xx
xx
xx",22,
112,3,Aug 50,Geometricus,"James Lavin
Nemo *
Geometricus *","3
3
3","Sep 50
Sep 50
Sep 50","xx
xx
xx",41,
113,3,Aug 50,Geometricus,"Geometricus
James Lavin *
Terence Moran *","3
3
3","Sep 50
Sep 50
Sep 50","xx
xx
xx",41,
114,3,Aug 50,Geometricus,"Function
James Lavin
----- *
Terence Moran *
Geometricus *","3
3
3
3
3","Sep 50
Sep 50
Sep 50
Sep 50
Sep 50","xx
xx
xx
xx
xx",41,
